"action_type","combined_shot_type","lat","loc_x","loc_y","lon","minutes_remaining","period","playoffs","season","seconds_remaining","shot_distance","shot_made_flag","shot_type","shot_zone_area","shot_zone_basic","shot_zone_range","game_month","matchup","opponent"
"Slam Dunk Shot","Dunk",34.0443,0,0,-118.2698,4,2,0,"2000-01",5,0,"1","2PT Field Goal","Center(C)","Restricted Area","Less Than 8 ft.","11","Home","LAC"
"Jump Shot","Jump Shot",33.9363,-33,108,-118.3028,2,2,0,"2000-01",2,11,"0","2PT Field Goal","Center(C)","In The Paint (Non-RA)","8-16 ft.","11","Home","LAC"
"Layup Shot","Layup",33.9953,22,49,-118.2478,0,2,0,"2000-01",47,5,"1","2PT Field Goal","Center(C)","In The Paint (Non-RA)","Less Than 8 ft.","11","Home","LAC"
"Driving Layup Shot","Layup",34.0443,0,0,-118.2698,9,3,0,"2000-01",32,0,"0","2PT Field Goal","Center(C)","Restricted Area","Less Than 8 ft.","11","Home","LAC"
"Driving Layup Shot","Layup",34.0233,56,21,-118.2138,0,3,0,"2000-01",37,5,"0","2PT Field Goal","Center(C)","In The Paint (Non-RA)","Less Than 8 ft.","11","Home","LAC"
"Running Jump Shot","Jump Shot",34.0183,121,26,-118.1488,0,3,0,"2000-01",1,12,"1","2PT Field Goal","Right Side(R)","Mid-Range","8-16 ft.","11","Home","LAC"
"Jump Shot","Jump Shot",33.9873,231,57,-118.0388,8,1,0,"2000-01",17,23,"0","3PT Field Goal","Right Side(R)","Right Corner 3","24+ ft.","11","Away","HOU"
"Driving Layup Shot","Layup",34.0443,0,0,-118.2698,7,1,0,"2000-01",53,0,"1","2PT Field Goal","Center(C)","Restricted Area","Less Than 8 ft.","11","Away","HOU"
"Driving Dunk Shot","Dunk",34.0443,0,0,-118.2698,7,1,0,"2000-01",1,0,"1","2PT Field Goal","Center(C)","Restricted Area","Less Than 8 ft.","11","Away","HOU"
"Jump Shot","Jump Shot",33.7873,7,257,-118.2628,3,1,0,"2000-01",11,25,"1","3PT Field Goal","Center(C)","Above the Break 3","24+ ft.","11","Away","HOU"
"Driving Layup Shot","Layup",34.0443,0,0,-118.2698,7,2,0,"2000-01",56,0,"1","2PT Field Goal","Center(C)","Restricted Area","Less Than 8 ft.","11","Away","HOU"
"Jump Shot","Jump Shot",33.9873,51,57,-118.2188,2,2,0,"2000-01",40,7,"0","2PT Field Goal","Center(C)","In The Paint (Non-RA)","Less Than 8 ft.","11","Away","HOU"
"Jump Shot","Jump Shot",33.8543,167,190,-118.1028,0,2,0,"2000-01",10,25,"0","3PT Field Goal","Right Side Center(RC)","Above the Break 3","24+ ft.","11","Away","HOU"
"Jump Shot","Jump Shot",33.8543,-119,190,-118.3888,11,3,0,"2000-01",2,22,"1","2PT Field Goal","Left Side Center(LC)","Mid-Range","16-24 ft.","11","Away","HOU"
"Jump Shot","Jump Shot",33.9873,16,57,-118.2538,9,3,0,"2000-01",10,5,"0","2PT Field Goal","Center(C)","In The Paint (Non-RA)","Less Than 8 ft.","11","Away","HOU"
"Jump Shot","Jump Shot",33.9343,-84,110,-118.3538,7,3,0,"2000-01",24,13,"0","2PT Field Goal","Left Side(L)","Mid-Range","8-16 ft.","11","Away","HOU"
"Jump Shot","Jump Shot",34.0023,-71,42,-118.3408,0,3,0,"2000-01",1,8,"0","2PT Field Goal","Left Side(L)","In The Paint (Non-RA)","8-16 ft.","11","Away","HOU"
"Jump Shot","Jump Shot",33.9113,30,133,-118.2398,5,4,0,"2000-01",1,13,"1","2PT Field Goal","Center(C)","In The Paint (Non-RA)","8-16 ft.","11","Away","HOU"
"Jump Shot","Jump Shot",33.8883,1,156,-118.2688,0,4,0,"2000-01",46,15,"0","2PT Field Goal","Center(C)","Mid-Range","8-16 ft.","11","Away","HOU"
"Jump Shot","Jump Shot",33.8333,132,211,-118.1378,11,1,0,"2000-01",41,24,"0","3PT Field Goal","Right Side Center(RC)","Above the Break 3","24+ ft.","11","Away","SAS"
"Slam Dunk Shot","Dunk",34.0403,-8,4,-118.2778,10,1,0,"2000-01",59,0,"0","2PT Field Goal","Center(C)","Restricted Area","Less Than 8 ft.","11","Away","SAS"
"Jump Shot","Jump Shot",33.9173,132,127,-118.1378,6,1,0,"2000-01",36,18,"1","2PT Field Goal","Right Side Center(RC)","Mid-Range","16-24 ft.","11","Away","SAS"
"Jump Shot","Jump Shot",33.8563,-29,188,-118.2988,5,1,0,"2000-01",54,19,"1","2PT Field Goal","Center(C)","Mid-Range","16-24 ft.","11","Away","SAS"
"Jump Shot","Jump Shot",33.9683,140,76,-118.1298,2,1,0,"2000-01",24,15,"1","2PT Field Goal","Right Side(R)","Mid-Range","8-16 ft.","11","Away","SAS"
"Turnaround Jump Shot","Jump Shot",34.0443,140,0,-118.1298,1,1,0,"2000-01",48,14,"1","2PT Field Goal","Right Side(R)","Mid-Range","8-16 ft.","11","Away","SAS"
"Jump Shot","Jump Shot",33.8883,-1,156,-118.2708,1,1,0,"2000-01",25,15,"1","2PT Field Goal","Center(C)","Mid-Range","8-16 ft.","11","Away","SAS"
"Jump Shot","Jump Shot",34.0403,-151,4,-118.4208,0,1,0,"2000-01",47,15,"1","2PT Field Goal","Left Side(L)","Mid-Range","8-16 ft.","11","Away","SAS"
"Jump Shot","Jump Shot",33.9683,110,76,-118.1598,10,2,0,"2000-01",57,13,"0","2PT Field Goal","Right Side(R)","Mid-Range","8-16 ft.","11","Away","SAS"
"Jump Shot","Jump Shot",33.9573,132,87,-118.1378,9,2,0,"2000-01",37,15,"0","2PT Field Goal","Right Side(R)","Mid-Range","8-16 ft.","11","Away","SAS"
"Jump Shot","Jump Shot",33.7933,-58,251,-118.3278,3,2,0,"2000-01",50,25,"1","3PT Field Goal","Center(C)","Above the Break 3","24+ ft.","11","Away","SAS"
"Jump Shot","Jump Shot",33.8843,-94,160,-118.3638,3,2,0,"2000-01",15,18,"1","2PT Field Goal","Left Side Center(LC)","Mid-Range","16-24 ft.","11","Away","SAS"
"Jump Shot","Jump Shot",33.8943,-193,150,-118.4628,0,2,0,"2000-01",53,24,"0","3PT Field Goal","Left Side Center(LC)","Above the Break 3","24+ ft.","11","Away","SAS"
"Jump Shot","Jump Shot",34.0443,140,0,-118.1298,0,2,0,"2000-01",48,14,"1","2PT Field Goal","Right Side(R)","Mid-Range","8-16 ft.","11","Away","SAS"
"Jump Shot","Jump Shot",34.0353,39,9,-118.2308,11,3,0,"2000-01",26,4,"0","2PT Field Goal","Center(C)","In The Paint (Non-RA)","Less Than 8 ft.","11","Away","SAS"
"Jump Shot","Jump Shot",33.8943,24,150,-118.2458,9,3,0,"2000-01",20,15,"0","2PT Field Goal","Center(C)","Mid-Range","8-16 ft.","11","Away","SAS"
"Slam Dunk Shot","Dunk",34.0443,-1,0,-118.2708,7,3,0,"2000-01",53,0,"1","2PT Field Goal","Center(C)","Restricted Area","Less Than 8 ft.","11","Away","SAS"
"Jump Shot","Jump Shot",33.9113,119,133,-118.1508,6,3,0,"2000-01",40,17,"1","2PT Field Goal","Right Side Center(RC)","Mid-Range","16-24 ft.","11","Away","SAS"
"Jump Shot","Jump Shot",34.0253,119,19,-118.1508,3,3,0,"2000-01",0,12,"0","2PT Field Goal","Right Side(R)","Mid-Range","8-16 ft.","11","Away","SAS"
"Jump Shot","Jump Shot",34.0023,-193,42,-118.4628,0,3,0,"2000-01",48,19,"0","2PT Field Goal","Left Side(L)","Mid-Range","16-24 ft.","11","Away","SAS"
"Jump Shot","Jump Shot",33.9893,-166,55,-118.4358,0,3,0,"2000-01",21,17,"0","2PT Field Goal","Left Side(L)","Mid-Range","16-24 ft.","11","Away","SAS"
"Jump Shot","Jump Shot",33.9283,24,116,-118.2458,10,4,0,"2000-01",39,11,"0","2PT Field Goal","Center(C)","In The Paint (Non-RA)","8-16 ft.","11","Away","SAS"
"Jump Shot","Jump Shot",33.8883,-65,156,-118.3348,7,4,0,"2000-01",8,16,"0","2PT Field Goal","Left Side Center(LC)","Mid-Range","16-24 ft.","11","Away","SAS"
"Turnaround Jump Shot","Jump Shot",34.0183,-166,26,-118.4358,6,4,0,"2000-01",25,16,"1","2PT Field Goal","Left Side(L)","Mid-Range","16-24 ft.","11","Away","SAS"
"Jump Shot","Jump Shot",33.9683,-58,76,-118.3278,5,4,0,"2000-01",14,9,"0","2PT Field Goal","Left Side(L)","In The Paint (Non-RA)","8-16 ft.","11","Away","SAS"
"Jump Shot","Jump Shot",33.9743,-37,70,-118.3068,3,4,0,"2000-01",38,7,"0","2PT Field Goal","Center(C)","In The Paint (Non-RA)","Less Than 8 ft.","11","Away","SAS"
"Jump Shot","Jump Shot",33.8563,-94,188,-118.3638,11,1,0,"2000-01",9,21,"0","2PT Field Goal","Left Side Center(LC)","Mid-Range","16-24 ft.","11","Home","HOU"
"Driving Layup Shot","Layup",34.0443,0,0,-118.2698,10,1,0,"2000-01",17,0,"0","2PT Field Goal","Center(C)","Restricted Area","Less Than 8 ft.","11","Home","HOU"
"Reverse Layup Shot","Layup",34.0443,0,0,-118.2698,9,1,0,"2000-01",23,0,"0","2PT Field Goal","Center(C)","Restricted Area","Less Than 8 ft.","11","Home","HOU"
"Tip Shot","Tip Shot",34.0443,0,0,-118.2698,9,1,0,"2000-01",21,0,"0","2PT Field Goal","Center(C)","Restricted Area","Less Than 8 ft.","11","Home","HOU"
"Slam Dunk Shot","Dunk",34.0443,0,0,-118.2698,3,1,0,"2000-01",2,0,"1","2PT Field Goal","Center(C)","Restricted Area","Less Than 8 ft.","11","Home","HOU"
"Driving Layup Shot","Layup",34.0443,0,0,-118.2698,0,1,0,"2000-01",44,0,"1","2PT Field Goal","Center(C)","Restricted Area","Less Than 8 ft.","11","Home","HOU"
"Jump Shot","Jump Shot",33.9033,85,141,-118.1848,0,1,0,"2000-01",21,16,"0","2PT Field Goal","Right Side Center(RC)","Mid-Range","16-24 ft.","11","Home","HOU"
"Jump Shot","Jump Shot",33.8863,-88,158,-118.3578,8,2,0,"2000-01",50,18,"1","2PT Field Goal","Left Side Center(LC)","Mid-Range","16-24 ft.","11","Home","HOU"
"Driving Dunk Shot","Dunk",34.0443,0,0,-118.2698,8,2,0,"2000-01",18,0,"1","2PT Field Goal","Center(C)","Restricted Area","Less Than 8 ft.","11","Home","HOU"
"Running Hook Shot","Hook Shot",34.0443,0,0,-118.2698,0,2,0,"2000-01",30,0,"1","2PT Field Goal","Center(C)","Restricted Area","Less Than 8 ft.","11","Home","HOU"
"Jump Shot","Jump Shot",33.7683,1,276,-118.2688,0,2,0,"2000-01",4,27,"1","3PT Field Goal","Center(C)","Above the Break 3","24+ ft.","11","Home","HOU"
"Jump Shot","Jump Shot",34.0523,155,-8,-118.1148,8,3,0,"2000-01",38,15,"1","2PT Field Goal","Right Side(R)","Mid-Range","8-16 ft.","11","Home","HOU"
"Jump Shot","Jump Shot",34.0313,-155,13,-118.4248,5,3,0,"2000-01",18,15,"1","2PT Field Goal","Left Side(L)","Mid-Range","8-16 ft.","11","Home","HOU"
"Jump Shot","Jump Shot",33.9113,-84,133,-118.3538,4,3,0,"2000-01",34,15,"0","2PT Field Goal","Left Side(L)","Mid-Range","8-16 ft.","11","Home","HOU"
"Jump Shot","Jump Shot",34.0523,-178,-8,-118.4478,3,3,0,"2000-01",51,17,"0","2PT Field Goal","Left Side(L)","Mid-Range","16-24 ft.","11","Home","HOU"
"Jump Shot","Jump Shot",33.9553,16,89,-118.2538,3,3,0,"2000-01",40,9,"0","2PT Field Goal","Center(C)","In The Paint (Non-RA)","8-16 ft.","11","Home","HOU"
"Jump Shot","Jump Shot",33.9383,-48,106,-118.3178,3,3,0,"2000-01",33,11,"1","2PT Field Goal","Center(C)","In The Paint (Non-RA)","8-16 ft.","11","Home","HOU"
"Jump Shot","Jump Shot",34.0313,-170,13,-118.4398,2,3,0,"2000-01",5,17,"0","2PT Field Goal","Left Side(L)","Mid-Range","16-24 ft.","11","Home","HOU"
"Jump Shot","Jump Shot",33.9113,-119,133,-118.3888,0,3,0,"2000-01",14,17,"0","2PT Field Goal","Left Side Center(LC)","Mid-Range","16-24 ft.","11","Home","HOU"
"Jump Shot","Jump Shot",34.0043,9,40,-118.2608,10,4,0,"2000-01",52,4,"0","2PT Field Goal","Center(C)","In The Paint (Non-RA)","Less Than 8 ft.","11","Home","HOU"
"Jump Shot","Jump Shot",33.9623,-84,82,-118.3538,6,4,0,"2000-01",34,11,"0","2PT Field Goal","Left Side(L)","Mid-Range","8-16 ft.","11","Home","HOU"
"Jump Shot","Jump Shot",33.9853,9,59,-118.2608,4,4,0,"2000-01",57,5,"0","2PT Field Goal","Center(C)","In The Paint (Non-RA)","Less Than 8 ft.","11","Home","HOU"
"Driving Dunk Shot","Dunk",34.0443,0,0,-118.2698,3,4,0,"2000-01",28,0,"1","2PT Field Goal","Center(C)","Restricted Area","Less Than 8 ft.","11","Home","HOU"
"Running Jump Shot","Jump Shot",33.9853,9,59,-118.2608,1,4,0,"2000-01",38,5,"1","2PT Field Goal","Center(C)","In The Paint (Non-RA)","Less Than 8 ft.","11","Home","HOU"
"Tip Shot","Tip Shot",34.0443,0,0,-118.2698,1,4,0,"2000-01",3,0,"0","2PT Field Goal","Center(C)","Restricted Area","Less Than 8 ft.","11","Home","HOU"
"Driving Layup Shot","Layup",34.0443,0,0,-118.2698,7,1,0,"2000-01",43,0,"0","2PT Field Goal","Center(C)","Restricted Area","Less Than 8 ft.","11","Home","DEN"
"Alley Oop Dunk Shot","Dunk",34.0443,0,0,-118.2698,3,1,0,"2000-01",8,0,"1","2PT Field Goal","Center(C)","Restricted Area","Less Than 8 ft.","11","Home","DEN"
"Jump Shot","Jump Shot",34.0483,129,-4,-118.1408,2,1,0,"2000-01",25,12,"1","2PT Field Goal","Right Side(R)","Mid-Range","8-16 ft.","11","Home","DEN"
"Jump Shot","Jump Shot",33.9473,-98,97,-118.3678,0,1,0,"2000-01",48,13,"1","2PT Field Goal","Left Side(L)","Mid-Range","8-16 ft.","11","Home","DEN"
"Jump Shot","Jump Shot",33.9663,167,78,-118.1028,11,2,0,"2000-01",16,18,"0","2PT Field Goal","Right Side(R)","Mid-Range","16-24 ft.","11","Home","DEN"
"Jump Shot","Jump Shot",33.7953,108,249,-118.1618,10,2,0,"2000-01",19,27,"0","3PT Field Goal","Right Side Center(RC)","Above the Break 3","24+ ft.","11","Home","DEN"
"Running Jump Shot","Jump Shot",33.8693,100,175,-118.1698,9,2,0,"2000-01",7,20,"1","2PT Field Goal","Right Side Center(RC)","Mid-Range","16-24 ft.","11","Home","DEN"
"Layup Shot","Layup",34.0443,0,0,-118.2698,1,2,0,"2000-01",54,0,"0","2PT Field Goal","Center(C)","Restricted Area","Less Than 8 ft.","11","Home","DEN"
"Driving Layup Shot","Layup",34.0443,0,0,-118.2698,0,2,0,"2000-01",28,0,"0","2PT Field Goal","Center(C)","Restricted Area","Less Than 8 ft.","11","Home","DEN"
"Jump Shot","Jump Shot",33.8753,115,169,-118.1548,10,3,0,"2000-01",23,20,"0","2PT Field Goal","Right Side Center(RC)","Mid-Range","16-24 ft.","11","Home","DEN"
"Jump Shot","Jump Shot",33.9723,1,72,-118.2688,5,3,0,"2000-01",23,7,"0","2PT Field Goal","Center(C)","In The Paint (Non-RA)","Less Than 8 ft.","11","Home","DEN"
"Driving Dunk Shot","Dunk",34.0443,0,0,-118.2698,0,3,0,"2000-01",37,0,"1","2PT Field Goal","Center(C)","Restricted Area","Less Than 8 ft.","11","Home","DEN"
"Jump Shot","Jump Shot",33.8143,113,230,-118.1568,11,4,0,"2000-01",43,25,"1","3PT Field Goal","Right Side Center(RC)","Above the Break 3","24+ ft.","11","Home","DEN"
"Layup Shot","Layup",34.0443,0,0,-118.2698,10,4,0,"2000-01",28,0,"1","2PT Field Goal","Center(C)","Restricted Area","Less Than 8 ft.","11","Home","DEN"
"Slam Dunk Shot","Dunk",34.0443,0,0,-118.2698,10,4,0,"2000-01",11,0,"1","2PT Field Goal","Center(C)","Restricted Area","Less Than 8 ft.","11","Home","DEN"
"Layup Shot","Layup",34.0443,0,0,-118.2698,5,4,0,"2000-01",37,0,"0","2PT Field Goal","Center(C)","Restricted Area","Less Than 8 ft.","11","Home","DEN"
"Jump Shot","Jump Shot",33.8503,98,194,-118.1718,11,1,0,"2000-01",42,21,"1","2PT Field Goal","Right Side Center(RC)","Mid-Range","16-24 ft.","11","Away","SAC"
"Jump Shot","Jump Shot",33.8603,-117,184,-118.3868,11,1,0,"2000-01",7,21,"0","2PT Field Goal","Left Side Center(LC)","Mid-Range","16-24 ft.","11","Away","SAC"
"Jump Shot","Jump Shot",34.0463,-168,-2,-118.4378,8,1,0,"2000-01",53,16,"0","2PT Field Goal","Left Side(L)","Mid-Range","16-24 ft.","11","Away","SAC"
"Jump Shot","Jump Shot",34.0083,70,36,-118.1998,8,1,0,"2000-01",16,7,"0","2PT Field Goal","Center(C)","In The Paint (Non-RA)","Less Than 8 ft.","11","Away","SAC"
"Driving Layup Shot","Layup",34.0443,0,0,-118.2698,7,1,0,"2000-01",43,0,"0","2PT Field Goal","Center(C)","Restricted Area","Less Than 8 ft.","11","Away","SAC"
"Jump Shot","Jump Shot",34.0023,-37,42,-118.3068,2,1,0,"2000-01",47,5,"1","2PT Field Goal","Center(C)","In The Paint (Non-RA)","Less Than 8 ft.","11","Away","SAC"
"Jump Shot","Jump Shot",33.9283,163,116,-118.1068,1,1,0,"2000-01",5,20,"0","2PT Field Goal","Right Side(R)","Mid-Range","16-24 ft.","11","Away","SAC"
"Jump Shot","Jump Shot",33.8653,113,179,-118.1568,8,2,0,"2000-01",13,21,"1","2PT Field Goal","Right Side Center(RC)","Mid-Range","16-24 ft.","11","Away","SAC"
"Jump Shot","Jump Shot",34.0463,169,-2,-118.1008,6,2,0,"2000-01",27,16,"1","2PT Field Goal","Right Side(R)","Mid-Range","16-24 ft.","11","Away","SAC"
"Jump Shot","Jump Shot",33.8883,91,156,-118.1788,0,2,0,"2000-01",52,18,"0","2PT Field Goal","Right Side Center(RC)","Mid-Range","16-24 ft.","11","Away","SAC"
"Jump Shot","Jump Shot",33.9513,134,93,-118.1358,0,2,0,"2000-01",19,16,"0","2PT Field Goal","Right Side(R)","Mid-Range","16-24 ft.","11","Away","SAC"
"Jump Shot","Jump Shot",33.5673,47,477,-118.2228,0,2,0,"2000-01",0,47,"0","3PT Field Goal","Back Court(BC)","Backcourt","Back Court Shot","11","Away","SAC"
"Jump Shot","Jump Shot",33.9073,11,137,-118.2588,8,3,0,"2000-01",52,13,"0","2PT Field Goal","Center(C)","In The Paint (Non-RA)","8-16 ft.","11","Away","SAC"
"Jump Shot","Jump Shot",34.0313,199,13,-118.0708,2,3,0,"2000-01",55,19,"0","2PT Field Goal","Right Side(R)","Mid-Range","16-24 ft.","11","Away","SAC"
"Jump Shot","Jump Shot",33.8083,77,236,-118.1928,0,3,0,"2000-01",1,24,"0","3PT Field Goal","Right Side Center(RC)","Above the Break 3","24+ ft.","11","Away","SAC"
"Jump Shot","Jump Shot",33.7973,11,247,-118.2588,9,4,0,"2000-01",18,24,"0","3PT Field Goal","Center(C)","Above the Break 3","24+ ft.","11","Away","SAC"
